"Time","POB"
2026-03-11 23:00:00,28.5 V
2026-03-12 02:00:00,28.4 V
2026-03-12 05:00:00,28.4 V
2026-03-12 08:00:00,28.3 V
2026-03-12 11:00:00,28.3 V
2026-03-12 14:00:00,28.4 V
2026-03-12 17:00:00,28.3 V
2026-03-12 20:00:00,28.2 V
2026-03-12 23:00:00,28.2 V
2026-03-13 02:00:00,28.1 V
2026-03-13 05:00:00,28.0 V
2026-03-13 08:00:00,27.9 V
2026-03-13 11:00:00,27.9 V
2026-03-13 14:00:00,28.0 V
2026-03-13 17:00:00,27.9 V
2026-03-13 20:00:00,27.8 V
2026-03-13 23:00:00,27.6 V
2026-03-14 02:00:00,27.4 V
2026-03-14 05:00:00,27.3 V
2026-03-14 08:00:00,27.3 V
2026-03-14 11:00:00,27.4 V
2026-03-14 14:00:00,27.3 V
2026-03-14 17:00:00,27.2 V
2026-03-14 20:00:00,27.2 V
2026-03-14 23:00:00,27.1 V
2026-03-15 02:00:00,27.0 V
2026-03-15 05:00:00,26.9 V
2026-03-15 08:00:00,26.8 V
2026-03-15 11:00:00,26.8 V
2026-03-15 14:00:00,26.8 V
2026-03-15 17:00:00,26.7 V
2026-03-15 20:00:00,26.6 V
2026-03-15 23:00:00,26.5 V
2026-03-16 02:00:00,26.5 V
2026-03-16 05:00:00,26.4 V
2026-03-16 08:00:00,26.4 V
2026-03-16 11:00:00,26.5 V
2026-03-16 14:00:00,26.5 V
2026-03-16 17:00:00,26.4 V
2026-03-16 20:00:00,26.3 V
2026-03-16 23:00:00,26.2 V
2026-03-17 02:00:00,26.2 V
2026-03-17 05:00:00,26.1 V
2026-03-17 08:00:00,26.1 V
2026-03-17 11:00:00,26.1 V
2026-03-17 14:00:00,26.1 V
2026-03-17 17:00:00,26.0 V
2026-03-17 20:00:00,25.9 V
2026-03-17 23:00:00,25.8 V
2026-03-18 02:00:00,25.7 V
2026-03-18 05:00:00,25.7 V
2026-03-18 08:00:00,25.5 V
2026-03-18 11:00:00,25.5 V